gate_id,gate_type,target_ref,metric_code,metric_name,owner,current_status,priority,unblock_condition,evidence_required,boundary,packet_file
signoff_1,owner_signoff,SCM-MECE-L3-001,forecast_accuracy_daily,日常预测准确率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_10,owner_signoff,SCM-MECE-L3-113,sku_oos_rate,SKU 缺货率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_11,owner_signoff,SCM-MECE-L3-114,unit_oos_rate,件数缺货率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_12,owner_signoff,SCM-MECE-L3-115,gmv_oos_rate,金额缺货率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_13,owner_signoff,SCM-MECE-L3-116,stockout_loss_amount,断货损失金额,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_14,owner_signoff,SCM-MECE-L3-117,safety_stock_coverage_rate,安全库存覆盖率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_15,owner_signoff,SCM-MECE-L3-118,inventory_sales_match_score,库存-销售匹配度,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_16,owner_signoff,SCM-MECE-L3-044,negative_available_inventory_count,负可用库存经营主键数,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_17,owner_signoff,SCM-MECE-L3-122,storage_capacity_utilization_rate,库容利用率,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
signoff_18,owner_signoff,SCM-MECE-L3-124,picking_uph,拣货效率 UPH,待确认,未发起,P0,Owner 签署指标口径、分母、粒度、例外规则和证据来源,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,manual_review_only_no_provider_call_no_production_write_no_erp_writeback,loop2-owner-signoff-intake-20260701.csv
