"xy","path","bucket","chunk","includeInCore","includeOptional","action","reason"
" D","drafts/analysis/.session-summary-project-governance-voc-scm-draft-20260605.md.baiduyun.uploading.cfg","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" D","drafts/analysis/.voc-topic-batch1-approval-request-review-package-gate-draft-20260605.md.baiduyun.uploading.cfg","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" D","knowledge_base/data_ability/0402-运营数据分析/指标体系建设与应用（31页 PPT）(1).pptx","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" D","knowledge_base/data_ability/0402-运营数据分析/数据指标体系—P2(1).pdf","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" D","knowledge_base/data_ability/0402-运营数据分析/数据指标体系：从设计到落地 153页(1).pdf","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" D","knowledge_base/data_ability/0402-运营数据分析/行业指标体系规范(1).docx","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" D","scm/drafts/docs/.session-summary-jijia-scm-and-stocking-inventory-context-draft-20260605.md.baiduyun.uploading.cfg","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" M","scm/drafts/prototypes/scm-data-governance-workbench-v0/data/governance_workbench.sqlite","release_critical","C","true","false","stage_core","Loop 3 local SQLite ledger with business closed-loop evidence"
" M","scm/drafts/prototypes/scm-data-governance-workbench-v0/scripts/import-assets.mjs","release_critical","B","true","false","stage_core","Loop 1 sourceRoot preflight and reproducible import guard"
" M","scm/drafts/prototypes/scm-data-governance-workbench-v0/scripts/smoke-ui.mjs","release_critical","B","true","false","stage_core","Loop 5 smoke assertion updated to follow current API-backed scenario count"
" M","scm/skills-lock.json","hold_out","D","false","false","do_not_stage","source/skill governance area with no Loop 5 RC ownership proof"
" D","scm/system_data/.中仓计划库存_20260602190050497.xlsx.baiduyun.uploading.cfg","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" D","scm/system_data/.仓库库存列表_20260602190444851.xlsx.baiduyun.uploading.cfg","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" D","scm/system_data/.库存周转-库龄20260601.xlsx.baiduyun.uploading.cfg","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" D","scm/system_data/.零售与渠道计划库存_20260602190214370.xlsx.baiduyun.uploading.cfg","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" M","scm/system_data/库存指标说明.md","hold_out","D","false","false","do_not_stage","source/skill governance area with no Loop 5 RC ownership proof"
" D","scm/tmp/outputs/alidocs-stocking-inventory-rendered-extract-20260604.md","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" D","scm/tmp/outputs/alidocs-stocking-inventory-scroll-chunks-20260604.json","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" D","scm/tmp/outputs/jijia-warehouse-live-extraction-20260604.json","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" D","scm/tmp/scripts/generate-jijia-scm-diagrams-20260604.mjs","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
" D","scm/tmp/scripts/warehouse-rerun-helper-20260604.mjs","hold_out","D","false","false","do_not_stage","pre-existing deletion or unrelated cleanup; excluded from Loop 5 release packet"
"??","drafts/analysis/project-capability-value-analysis-draft-20260630.md","hold_out","D","false","false","do_not_stage","parent-repo leadership analysis artifact; keep outside SCM release packet unless separately approved"
"??","scm/.cbmignore","support_evidence","B-optional","false","true","optional_stage_after_review","indexing boundary support, not runtime-critical"
"??","scm/drafts/analysis/aip-scm-node-deepdive-optimization-draft-20260627/71-scm-business-value-and-investment-case-draft-20260630.md","support_evidence","A-optional","false","true","optional_stage_after_review","business value and investment case evidence, not runtime-critical"
"??","scm/drafts/analysis/aip-scm-node-deepdive-optimization-draft-20260627/72-loop-engineering-execution-plan-draft-20260701.md","release_critical","A","true","false","stage_core","Loop engineering governance execution docs"
"??","scm/drafts/analysis/aip-scm-node-deepdive-optimization-draft-20260627/73-loop2-manual-gates-owner-packet-execution-draft-20260701.md","release_critical","A","true","false","stage_core","Loop engineering governance execution docs"
"??","scm/drafts/analysis/aip-scm-node-deepdive-optimization-draft-20260627/74-loop3-business-closed-loops-execution-draft-20260701.md","release_critical","A","true","false","stage_core","Loop engineering governance execution docs"
"??","scm/drafts/analysis/aip-scm-node-deepdive-optimization-draft-20260627/75-loop4-readonly-sample-design-execution-draft-20260701.md","release_critical","A","true","false","stage_core","Loop engineering governance execution docs"
"??","scm/drafts/analysis/aip-scm-node-deepdive-optimization-draft-20260627/76-loop5-release-boundary-execution-draft-20260701.md","release_critical","A","true","false","stage_core","Loop engineering governance execution docs"
"??","scm/drafts/prototypes/scm-data-governance-workbench-v0/scripts/smoke-deepseek-live.mjs","provider_gated_release_support","B","true","false","stage_core_provider_gated_no_run","package.json references this gated smoke; include as no-provider-by-default support, do not execute without authorization"
"??","scm/tmp/outputs/loop2-manual-gates-owner-packet-20260701/","release_evidence","C","true","false","stage_core","Loop machine-readable evidence packet"
