field_id,source_system,source_surface,target_object_type,target_property,sensitivity_level,grain,evidence_level,exclusion_policy,allowed_substitute,reason
OMSWMS-FD-0024,OMS,订单统计/订单列表,SalesOrder,destination_country,sensitive_operational_identifier,order_no or country + warehouse/platform + period,L2_browser_dom_verified,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0025,OMS,订单统计/订单列表,SalesOrder,order_qty,sensitive_operational_identifier,order_no or country + warehouse/platform + period,L2_browser_dom_verified,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0026,OMS,订单统计/订单列表,SalesOrder,order_status,sensitive_operational_identifier,order_no or country + warehouse/platform + period,L2_browser_dom_verified,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0027,OMS,订单统计/订单列表,SalesOrder,ship_warehouse,sensitive_operational_identifier,order_no or country + warehouse/platform + period,L2_browser_dom_verified,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0028,OMS,订单统计/订单列表,SalesOrder,logistics_product,sensitive_operational_identifier,order_no or country + warehouse/platform + period,L2_browser_dom_verified,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0029,OMS,订单统计/订单列表,SalesOrder,sales_platform,sensitive_operational_identifier,order_no or country + warehouse/platform + period,L2_browser_dom_verified,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0030,OMS,订单统计/订单列表,SalesOrder,order_type,sensitive_operational_identifier,order_no or country + warehouse/platform + period,L2_browser_dom_verified,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0051,WMS,库存余量,InventoryPosition,customer_code,sensitive_operational_identifier,sku + batch + location,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0052,WMS,库存余量,InventoryPosition,product_group,sensitive_operational_identifier,sku + batch + location,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0053,WMS,库存余量,InventoryPosition,cargo_type,sensitive_operational_identifier,sku + batch + location,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0054,WMS,库存余量,InventoryPosition,batch_no,sensitive_operational_identifier,sku + batch + location,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0055,WMS,库存余量,InventoryPosition,area,sensitive_operational_identifier,sku + batch + location,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0056,WMS,库存余量,InventoryPosition,putaway_zone,sensitive_operational_identifier,sku + batch + location,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0057,WMS,库存余量,InventoryPosition,location_code,sensitive_operational_identifier,sku + batch + location,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
OMSWMS-FD-0058,WMS,库存余量,InventoryPosition,location_group,sensitive_operational_identifier,sku + batch + location,L1_frontend_script_parsed,exclude_from_loop4_sample_package,aggregate_or_tokenized_field_only_after_security_review,sensitive_operational_identifier_or_row_level_traceability_risk
