field_id,sample_domain,source_system,source_surface,target_object_type,target_property,data_type_hint,sensitivity_level,grain,refresh_cycle,evidence_level,owner_gate,transform_rule,dq_group,loop3_refs,import_gate
OMSWMS-FD-0001,inventory_risk_sample,OMS,库存统计,InventoryBatch,warehouse_id,identifier,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0002,inventory_risk_sample,OMS,库存统计,InventoryBatch,sku_code,identifier,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0003,inventory_risk_sample,OMS,库存统计,InventoryBatch,available_qty,number,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0004,inventory_risk_sample,OMS,库存统计,InventoryBatch,sellable_qty,number,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0005,inventory_risk_sample,OMS,库存统计,InventoryBatch,age_bucket,string,operational_internal,sku + warehouse + snapshot_time,snapshot_time,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,keep_if_allowlist_field_id_matches_and_owner_approved,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0006,inventory_risk_sample,OMS,区域仓库存,InventoryBatch,reference_code,identifier,operational_internal,sku + warehouse + stock_status,owner_pending,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,keep_if_allowlist_field_id_matches_and_owner_approved,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0007,inventory_risk_sample,OMS,区域仓库存,InventoryBatch,frozen_qty,number,operational_internal,sku + warehouse + stock_status,owner_pending,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0008,inventory_risk_sample,OMS,区域仓库存,InventoryBatch,warning_stock_qty,number,operational_internal,sku + warehouse + stock_status,owner_pending,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0009,inventory_risk_sample,OMS,区域仓库存,InventoryBatch,in_transit_qty,number,operational_internal,sku + warehouse + stock_status,owner_pending,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0010,inventory_risk_sample,OMS,区域仓库存,InventoryBatch,reserved_qty,number,operational_internal,sku + warehouse + stock_status,owner_pending,L2_browser_dom_verified,OMSWMS-001;OMSWMS-003;OMSWMS-004,numeric_keep_with_range_checks_and_optional_bucket_for_external_review,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0011,inventory_risk_sample,OMS,库存动态,InventoryTransaction,operation_no,datetime,operational_internal,operation_no + sku + warehouse,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0012,inventory_risk_sample,OMS,库存动态,InventoryTransaction,operation_type,datetime,operational_internal,operation_no + sku + warehouse,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,enum_keep_with_allowed_value_checks,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
OMSWMS-FD-0013,inventory_risk_sample,OMS,库存动态,InventoryTransaction,sku_code,identifier,operational_internal,operation_no + sku + warehouse,event_time,L2_browser_dom_verified,OMSWMS-002;OMSWMS-003;OMSWMS-004,stable_tokenize_before_sample_export,dq_inventory_snapshot_transaction_grain,scenario_loop3_inventory_stockout_three_way_20260701,design_review_only_businessRowsImported_false
