gate_id,target_ref,metric_code,metric_name,level,l1_domain,l2_group,formula,grain,direction,current_owner,current_status,priority,current_notes,required_decision,reviewer_owner,signoff_date,definition_version,denominator_rule,grain_confirmation,exception_rule,evidence_link,decision_result,reviewer_notes
signoff_1,SCM-MECE-L3-001,forecast_accuracy_daily,日常预测准确率,L3,需求计划与补货决策,预测质量,"1 - abs(预测销量 - 实际销量) / nullif(实际销量,0)",forecast_version + sku + channel + period,higher_better,待确认,未发起,P0,确认预测口径、预测版本、误差分母与时间粒度,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源,,,,,,,,,
signoff_10,SCM-MECE-L3-113,sku_oos_rate,SKU 缺货率,L3,库存可售性与资产健康,可售性与断货服务,缺货 SKU 数 / 应可售 SKU 数,channel + country + category + abc_class + period,lower_better,待确认,未发起,P0,确认SKU缺货判断主键与应可售范围,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,,,,,,,,,
signoff_11,SCM-MECE-L3-114,unit_oos_rate,件数缺货率,L3,库存可售性与资产健康,可售性与断货服务,缺货造成件数损失 / 无缺货预计销量,channel + country + sku + forecast_version + period,lower_better,待确认,未发起,P0,确认缺货件数损失的预测基线,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,,,,,,,,,
signoff_12,SCM-MECE-L3-115,gmv_oos_rate,金额缺货率,L3,库存可售性与资产健康,可售性与断货服务,缺货造成 GMV 损失 / 无缺货预计 GMV,channel + country + sku + forecast_version + period,lower_better,待确认,未发起,P0,确认缺货金额损失的GMV口径,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,,,,,,,,,
signoff_13,SCM-MECE-L3-116,stockout_loss_amount,断货损失金额,L3,库存可售性与资产健康,可售性与断货服务,缺货造成 GMV 或毛利损失金额,channel + country + sku + period,lower_better,待确认,未发起,P0,确认损失金额采用GMV还是毛利,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,,,,,,,,,
signoff_14,SCM-MECE-L3-117,safety_stock_coverage_rate,安全库存覆盖率,L3,库存可售性与资产健康,可售性与断货服务,当前可覆盖安全库存阈值的经营主键数 / 应覆盖经营主键数,channel + country + category + abc_class + period,higher_better,待确认,未发起,P0,确认安全库存阈值版本和ABC分层,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,,,,,,,,,
signoff_15,SCM-MECE-L3-118,inventory_sales_match_score,库存-销售匹配度,L3,库存可售性与资产健康,库龄动销与积压风险,"score(库存结构占比, 销售结构占比, 预测结构占比)",category + channel + period,higher_better,待确认,未发起,P0,确认库存结构与销售结构的评分权重,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,,,,,,,,,
signoff_16,SCM-MECE-L3-044,negative_available_inventory_count,负可用库存经营主键数,L3,库存可售性与资产健康,可售性与断货服务,业务可用库存 < 0 的经营主键数,platform + warehouse_or_country + period,lower_better,待确认,未发起,P0,确认负可用库存的业务允许场景与例外,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,,,,,,,,,
signoff_17,SCM-MECE-L3-122,storage_capacity_utilization_rate,库容利用率,L3,仓储执行与库存准确,库容与人效,已使用库容 / 可用库容,warehouse + warehouse_type + period,governed_range,待确认,未发起,P0,确认库容容量单位、可用库容与冻结库容处理,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,,,,,,,,,
signoff_18,SCM-MECE-L3-124,picking_uph,拣货效率 UPH,L3,仓储执行与库存准确,库容与人效,拣货件数 / 作业小时,warehouse + picker_group + period,higher_better,待确认,未发起,P0,确认作业小时、拣货件数和异常订单排除规则,确认指标定义、公式、分母、粒度、例外规则、适用平台/区域和证据来源；重点确认跨平台库存、FBA/3PL/海外仓、预测基线和缺货损失口径,,,,,,,,,
