gate_id,target_ref,metric_code,metric_name,level,l1_domain,l2_group,formula,grain,direction,owner,status,priority,current_notes,evidence_required,source_system,table_or_view,field_name,aggregation_or_filter,join_key,snapshot_grain,update_frequency,evidence_link,mapping_decision,reviewer_notes
mapping_32,SCM-MECE-L3-123,pallet_fill_rate,托盘填充率,L3,仓储执行与库存准确,库容与人效,货品总体积 / 托盘容量,warehouse + pallet + period,higher_better,仓储运营 Owner,待确认,P0,待确认源字段（表/字段）,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,,,,,,,,,,
mapping_33,SCM-MECE-L3-124,picking_uph,拣货效率 UPH,L3,仓储执行与库存准确,库容与人效,拣货件数 / 作业小时,warehouse + picker_group + period,higher_better,仓储运营 Owner,待确认,P0,待确认源字段（表/字段）,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,,,,,,,,,,
mapping_34,SCM-MECE-L3-122,storage_capacity_utilization_rate,库容利用率,L3,仓储执行与库存准确,库容与人效,已使用库容 / 可用库容,warehouse + warehouse_type + period,governed_range,仓储运营 Owner,待确认,P0,待确认源字段（表/字段）,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,,,,,,,,,,
mapping_43,SCM-MECE-L3-115,gmv_oos_rate,金额缺货率,L3,库存可售性与资产健康,可售性与断货服务,缺货造成 GMV 损失 / 无缺货预计 GMV,channel + country + sku + forecast_version + period,lower_better,库存运营 Owner,待确认,P0,待确认源字段（表/字段）,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,,,,,,,,,,
mapping_45,SCM-MECE-L3-117,safety_stock_coverage_rate,安全库存覆盖率,L3,库存可售性与资产健康,可售性与断货服务,当前可覆盖安全库存阈值的经营主键数 / 应覆盖经营主键数,channel + country + category + abc_class + period,higher_better,库存运营 Owner,待确认,P0,待确认源字段（表/字段）,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,,,,,,,,,,
mapping_46,SCM-MECE-L3-113,sku_oos_rate,SKU 缺货率,L3,库存可售性与资产健康,可售性与断货服务,缺货 SKU 数 / 应可售 SKU 数,channel + country + category + abc_class + period,lower_better,库存运营 Owner,待确认,P0,待确认源字段（表/字段）,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,,,,,,,,,,
mapping_47,SCM-MECE-L3-116,stockout_loss_amount,断货损失金额,L3,库存可售性与资产健康,可售性与断货服务,缺货造成 GMV 或毛利损失金额,channel + country + sku + period,lower_better,库存运营 Owner,待确认,P0,待确认源字段（表/字段）,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,,,,,,,,,,
mapping_48,SCM-MECE-L3-114,unit_oos_rate,件数缺货率,L3,库存可售性与资产健康,可售性与断货服务,缺货造成件数损失 / 无缺货预计销量,channel + country + sku + forecast_version + period,lower_better,库存运营 Owner,待确认,P0,待确认源字段（表/字段）,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,,,,,,,,,,
mapping_52,SCM-MECE-L3-118,inventory_sales_match_score,库存-销售匹配度,L3,库存可售性与资产健康,库龄动销与积压风险,"score(库存结构占比, 销售结构占比, 预测结构占比)",category + channel + period,higher_better,库存运营 Owner,待确认,P0,待确认源字段（表/字段）,OMS/WMS/FBA/3PL 库存快照、销售预测或平台可售库存字段；需提供 SKU/MSKU/FNSKU/warehouse/date join key,,,,,,,,,,
mapping_10,SCM-MECE-L3-139,business_default_zero_rate,业务默认 0 字段占比,L3,主数据指标治理与数据质量,快照同步与数据质量,按规则默认 0 的库存字段数 / 参与计算库存字段数,platform + rule_version + period,observe,数据治理 Owner,待确认,P0,待确认源字段（表/字段）,主数据、库存同步日志或映射表字段；需提供 source_system/platform/rule_version/period 粒度,,,,,,,,,,
