"path","bucket","chunk","includeMode","action","sizeBytes","sha256","reason"
"scm/drafts/prototypes/scm-data-governance-workbench-v0/data/governance_workbench.sqlite","release_critical","C","core","stage_core","35053568","cb91dd0d63dad2d62d73f7da5c7058254b08ac36feb139921a38121dcf61cc99","Loop 3 local SQLite ledger with business closed-loop evidence"
"scm/drafts/prototypes/scm-data-governance-workbench-v0/scripts/import-assets.mjs","release_critical","B","core","stage_core","56921","631a5166cf894e71df09e6161d83d2a78bc8c99c3cc87de9fe14cfccf048565c","Loop 1 sourceRoot preflight and reproducible import guard"
"scm/drafts/prototypes/scm-data-governance-workbench-v0/scripts/smoke-ui.mjs","release_critical","B","core","stage_core","22795","abee57d131847169c478f2b03ac3de164c973feb42f28de5ef5ab6474533dd98","Loop 5 smoke assertion updated to follow current API-backed scenario count"
"scm/.cbmignore","support_evidence","B-optional","optional","optional_stage_after_review","151","9c212640d9c60ece14981bfde647f84cc02b544e4154323257398990a9fb3a0a","indexing boundary support, not runtime-critical"
"scm/drafts/analysis/aip-scm-node-deepdive-optimization-draft-20260627/71-scm-business-value-and-investment-case-draft-20260630.md","support_evidence","A-optional","optional","optional_stage_after_review","11575","c721e4e2cd31f247137a45ffbd68786e0b97cdbd036fbbbbc4e547e39b2904b2","business value and investment case evidence, not runtime-critical"
"scm/drafts/analysis/aip-scm-node-deepdive-optimization-draft-20260627/72-loop-engineering-execution-plan-draft-20260701.md","release_critical","A","core","stage_core","20840","9271fae45ff58dedef4b34f571c5f1772bd8877ccce43299a73dac8543b15d86","Loop engineering governance execution docs"
"scm/drafts/analysis/aip-scm-node-deepdive-optimization-draft-20260627/73-loop2-manual-gates-owner-packet-execution-draft-20260701.md","release_critical","A","core","stage_core","4838","639ac4c14dba5a16701e10aa6afb47156ecde7dc0e1dc170ca045e87b3d7b6af","Loop engineering governance execution docs"
"scm/drafts/analysis/aip-scm-node-deepdive-optimization-draft-20260627/74-loop3-business-closed-loops-execution-draft-20260701.md","release_critical","A","core","stage_core","5222","9c3600762ea50b0129fe7dae04964a7eb752d518436c7828bd98a5a98780bfef","Loop engineering governance execution docs"
"scm/drafts/analysis/aip-scm-node-deepdive-optimization-draft-20260627/75-loop4-readonly-sample-design-execution-draft-20260701.md","release_critical","A","core","stage_core","5923","dcca375a14b009d7d60626d47463907f3b1b9a2a8f7d851bafac60bce757cb7e","Loop engineering governance execution docs"
"scm/drafts/analysis/aip-scm-node-deepdive-optimization-draft-20260627/76-loop5-release-boundary-execution-draft-20260701.md","release_critical","A","core","stage_core","4170","39bc5cfc6fec90c0a1fe771fa98297480a0aeba07321f44e290aa512da7a8ef2","Loop engineering governance execution docs"
"scm/drafts/prototypes/scm-data-governance-workbench-v0/scripts/smoke-deepseek-live.mjs","provider_gated_release_support","B","core","stage_core_provider_gated_no_run","7948","1a2529fdfbb7e66045577cdcbd282b705cab693e6dc9ff0af92e1aea4754a778","package.json references this gated smoke; include as no-provider-by-default support, do not execute without authorization"
"scm/tmp/outputs/loop2-manual-gates-owner-packet-20260701/loop2-evidence-summary-20260701.json","release_evidence","C","core","stage_core","1306","eb7d906644de7d85d97c153c10b7a941829256f679513ef29ab995b72f090515","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop2-manual-gates-owner-packet-20260701/loop2-field-mapping-intake-20260701.csv","release_evidence","C","core","stage_core","8050","3910f1faeeab8973f582571e75c0ee858c1d0cdc8afe6ae43595227f6bcff089","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop2-manual-gates-owner-packet-20260701/loop2-manual-gate-ledger-20260701.csv","release_evidence","C","core","stage_core","22207","f53a4de991bd2d72c0af06617694927a37ae02e61eb9e6570c686415fa4bcdd7","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop2-manual-gates-owner-packet-20260701/loop2-owner-signoff-intake-20260701.csv","release_evidence","C","core","stage_core","14351","c72d06761d761965933d3f620c2eb56c4fada666bb5220055ff832545d2fc750","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop2-manual-gates-owner-packet-20260701/loop2-owner-status-rollup-20260701.csv","release_evidence","C","core","stage_core","1322","41dac6e30841919cbf68da8f4aa15be2c84d0c70ec542c5e1cfa10ec75e84518","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop2-manual-gates-owner-packet-20260701/loop2-scei-weight-intake-20260701.csv","release_evidence","C","core","stage_core","2269","c9f79a2ee3c8ef1285082b56390956b874955103850f079a29d270a61415661a","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop3-business-closed-loops-20260701/loop3-business-closed-loop-evidence-20260701.json","release_evidence","C","core","stage_core","7471","b277ff0525928311d5dc8c9c8e1da083db7d6fbdb7a0fa3223d1c438f7dde82e","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop3-business-closed-loops-20260701/loop3-business-closed-loop-ledger-20260701.csv","release_evidence","C","core","stage_core","3734","386774bc9e6adcc860273a4e5a397dc235219ad66623d6af2aa34b6b9d0dfcbc","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop4-readonly-sample-design-20260701/loop4-cost-event-template-20260701.csv","release_evidence","C","core","stage_core","189","a1ba422df90517995e21178923114d989d771e097fa98372111c583ed45bb33e","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop4-readonly-sample-design-20260701/loop4-dq-rules-20260701.csv","release_evidence","C","core","stage_core","2927","58dcff1b36dcf68c31f403098dbc85d4b241b1c34ff1e7eeae65e4f790fd8e1e","Loop machine-readable evidence packet"
"scm/tmp/outputs/loop4-readonly-sample-design-20260701/loop4-evidence-summary-20260701.json","release_evidence","C","core","stage_core","6365","0042c9615e326a89c4ddb1669dd8dea57cb6618683311463c3d9e4a9c5426b3a","Loop machine-readable evidence packet"
